,Unnamed: 0,X,Y,ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DAY_OF_WEEK,DCA_CODE,HIT_RUN_FLAG,LIGHT_CONDITION,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,RUN_OFFROAD,NODE_TYPE,LGA_NAME,REGION_NAME,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,RMA,RMA_ALL,DIVIDED,DIVIDED_ALL,STAT_DIV_NAME,Surface Cond Desc,Atmosph Cond Desc,no_male_driver,no_female_driver,avg_age_male,avg_age_female,year
161,161,144.99469003164825,-38.40143957202924,T20140018069,2014-08-31,11,No,Collision with vehicle,Sunday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Cross intersection,Fatal accident,100,No,Intersection,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,3,3,1,1,1,0,1,2,0,1,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Metro,Dry,Clear,1,1,27.0,18.0,2014
162,162,143.03548939860045,-38.19225121857783,T20140018085,2014-08-31,19,Yes,Collision with a fixed object,Sunday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Not at intersection,Fatal accident,100,Yes,Non-Intersection,CORANGAMITE,SOUTH WESTERN REGION,2,2,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,Yes,0,1,0,1,0,0,Local Road,Local Road,Undivided,Undiv,Country,Dry,Clear,1,0,48.0,,2014
163,163,144.9502053309153,-37.72747778966649,T20140018476,2014-09-05,20,Yes,Collision with vehicle,Friday,PULLING OUT (OVERTAKING),No,Dark Street lights on,T intersection,Fatal accident,50,No,Intersection,MORELAND,METROPOLITAN NORTH WEST REGION,2,2,1,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,Yes,0,3,0,3,0,0,Local Road,Local Road,Undivided,Undiv,Metro,Dry,Clear,2,0,35.5,,2014
164,164,145.11682842855075,-38.147658501320755,T20140015790,2014-07-31,12,No,Struck Pedestrian,Thursday,PED PLAYING/LYING/WORKING/STANDING ON CARRIAGEWAY.,No,Day,Not at intersection,Fatal accident,60,No,Non-Intersection,FRANKSTON,METROPOLITAN SOUTH EAST REGION,3,1,1,0,0,2,2,1,0,0,1,2,0,0,0,0,0,2,0,0,No,0,2,0,2,0,0,Arterial Highway,Arterial Highway,Divided,Div,Metro,Dry,Clear,1,0,72.0,,2014
165,165,145.18440640260926,-38.100939755473476,T20140015852,2014-08-01,14,No,Collision with vehicle,Friday,RIGHT THROUGH,No,Day,T intersection,Fatal accident,70,No,Intersection,FRANKSTON,METROPOLITAN SOUTH EAST REGION,2,1,1,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,1,1,No,0,2,1,1,0,0,Local Road,Local Road,Divided,"Div,Undiv",Metro,Wet,Raining,2,0,51.5,,2014
166,166,146.9427084732313,-36.232749233928615,T20140016337,2014-08-07,8,No,Collision with vehicle,Thursday,HEAD ON (NOT OVERTAKING),No,Day,Not at intersection,Fatal accident,100,No,Non-Intersection,INDIGO,NORTH EASTERN REGION,4,3,3,0,0,1,2,2,0,1,3,0,0,0,0,0,0,0,0,0,No,0,3,1,2,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Country,Dry,Clear,1,2,50.0,50.0,2014
167,167,146.9427084732313,-36.232749233928615,T20140016337,2014-08-07,8,No,Collision with vehicle,Thursday,HEAD ON (NOT OVERTAKING),No,Day,Not at intersection,Fatal accident,100,No,Non-Intersection,INDIGO,NORTH EASTERN REGION,4,3,3,0,0,1,2,2,0,1,3,0,0,0,0,0,0,0,0,0,No,0,3,1,2,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Country,Dry,Clear,1,2,50.0,50.0,2014
168,168,146.9427084732313,-36.232749233928615,T20140016337,2014-08-07,8,No,Collision with vehicle,Thursday,HEAD ON (NOT OVERTAKING),No,Day,Not at intersection,Fatal accident,100,No,Non-Intersection,INDIGO,NORTH EASTERN REGION,4,3,3,0,0,1,2,2,0,1,3,0,0,0,0,0,0,0,0,0,No,0,3,1,2,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Country,Dry,Clear,1,2,50.0,50.0,2014
169,169,145.17313625394618,-37.832910654288966,T20140016786,2014-08-13,18,Yes,Struck Pedestrian,Wednesday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,No,Dark Street lights on,T intersection,Fatal accident,80,No,Intersection,WHITEHORSE,METROPOLITAN SOUTH EAST REGION,2,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Arterial Highway,"Arterial Highway,Local Road",Divided,"Div,Undiv",Metro,Dry,Clear,1,0,40.0,,2014
170,170,145.02764001352483,-36.19914662351708,T20140016810,2014-08-13,9,No,Collision with a fixed object,Wednesday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Not at intersection,Fatal accident,100,Yes,Non-Intersection,CAMPASPE,NORTHERN REGION,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Arterial Highway,Arterial Highway,Undivided,Undiv,Country,Dry,Clear,0,1,,65.0,2014
171,171,143.56120304447217,-35.32359104611068,T20140020210,2014-09-30,17,No,Collision with a fixed object,Tuesday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dusk/Dawn,Not at intersection,Fatal accident,60,Yes,Non-Intersection,SWAN HILL,NORTHERN REGION,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,Yes,1,1,0,1,0,0,Local Road,Local Road,Undivided,Undiv,Country,Dry,Clear,1,0,23.0,,2014
172,172,145.2162258349136,-37.90890020288098,T20140019383,2014-09-18,18,Yes,Collision with a fixed object,Thursday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark Street lights on,Not at intersection,Fatal accident,100,Yes,Non-Intersection,KNOX,METROPOLITAN SOUTH EAST REGION,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Freeway,Freeway,Divided,Div,Metro,Dry,Clear,1,0,40.0,,2014
173,173,141.21532533815937,-37.67608662651962,T20140018959,2014-09-12,15,No,Collision with a fixed object,Friday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Not at intersection,Fatal accident,100,Yes,Non-Intersection,GLENELG,SOUTH WESTERN REGION,2,2,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,No,0,1,0,1,0,0,Arterial Highway,Arterial Highway,Undivided,Undiv,Country,Dry,Clear,1,0,85.0,,2014
174,174,141.21532533815937,-37.67608662651962,T20140018959,2014-09-12,15,No,Collision with a fixed object,Friday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Not at intersection,Fatal accident,100,Yes,Non-Intersection,GLENELG,SOUTH WESTERN REGION,2,2,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,No,0,1,0,1,0,0,Arterial Highway,Arterial Highway,Undivided,Undiv,Country,Dry,Clear,1,0,85.0,,2014
175,175,144.54636290557286,-38.20269034278915,T20140018677,2014-09-08,16,No,Collision with a fixed object,Monday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Not at intersection,Fatal accident,100,Yes,Non-Intersection,GEELONG,SOUTH WESTERN REGION,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Country,Dry,Clear,1,0,49.0,,2014
176,176,143.9329898769613,-37.37029072354545,T20140018685,2014-09-08,20,Yes,Collision with a fixed object,Monday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Not at intersection,Fatal accident,100,Yes,Non-Intersection,HEPBURN,WESTERN REGION,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,0,1,0,1,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Country,Dry,Clear,1,0,62.0,,2014
177,177,145.25835074098896,-37.97485707677093,T20140019585,2014-09-21,15,No,Struck Pedestrian,Sunday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,No,Day,Not at intersection,Fatal accident,80,No,Non-Intersection,CASEY,METROPOLITAN SOUTH EAST REGION,2,2,1,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Arterial Other,Arterial Other,Divided,Div,Metro,Dry,Clear,1,0,38.0,,2014
178,178,146.31663335247504,-38.298736780910275,T20140019650,2014-09-22,16,No,Collision with vehicle,Monday,RIGHT NEAR (INTERSECTIONS ONLY),No,Day,T intersection,Fatal accident,100,No,Intersection,LATROBE,EASTERN REGION,2,1,1,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,No,0,2,0,1,1,0,Local Road,Local Road,Undivided,Undiv,Country,Dry,Clear,2,0,43.5,,2014
179,179,145.16344786631797,-37.96868974607085,T20140019655,2014-09-11,22,Yes,Other accident,Thursday,OTHER ACCIDENTS NOT CLASSIFIABLE ELSEWHERE,Not known,Dark Street lights unknown,Not at intersection,Fatal accident,50,No,Non-Intersection,DANDENONG,METROPOLITAN SOUTH EAST REGION,2,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,No,0,1,0,0,0,0,Local Road,Local Road,Undivided,Undiv,Metro,Dry,Clear,0,0,,,2014
180,180,146.6938222870671,-36.327690333049524,T20140020078,2014-09-28,19,Yes,Collision with a fixed object,Sunday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dusk/Dawn,Not at intersection,Fatal accident,100,Yes,Non-Intersection,INDIGO,NORTH EASTERN REGION,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Country,Dry,Clear,1,0,19.0,,2014
181,181,144.9906786076043,-37.813559234490384,T20140019687,2014-09-23,12,No,Collision with a fixed object,Tuesday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,T intersection,Fatal accident,70,Yes,Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2,2,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,No,0,1,0,1,0,0,Arterial Highway,"Arterial Highway,Local Road",Divided,"Div,Undiv",Metro,Dry,Clear,1,0,91.0,,2014
182,182,147.0216601544525,-37.96159890786448,T20140018850,2014-09-03,13,No,No collision and no object struck,Wednesday,OUT OF CONTROL ON CARRIAGEWAY (ON BEND),No,Day,Not at intersection,Fatal accident,100,No,Non-Intersection,WELLINGTON,EASTERN REGION,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,No,0,1,0,0,0,0,Local Road,Local Road,Undivided,Undiv,Country,Dry,Clear,1,0,79.0,,2014
183,183,144.9655397590013,-37.74123035520145,T20140018858,2014-09-11,11,No,Struck Pedestrian,Thursday,PED EMERGES FROM IN FRONT OF PARKED OR STATIONARY VEHICLE,No,Day,T intersection,Fatal accident,60,No,Intersection,MORELAND,METROPOLITAN NORTH WEST REGION,2,1,1,0,0,1,2,0,0,0,1,1,0,0,0,0,0,1,0,0,No,0,1,1,0,0,0,Arterial Highway,"Arterial Highway,Local Road",Undivided,Undiv,Metro,Wet,Clear,1,0,26.0,,2014
184,184,144.17478831088238,-36.857541662282344,T20140020184,2014-09-30,12,No,Collision with vehicle,Tuesday,HEAD ON (NOT OVERTAKING),No,Day,Not at intersection,Fatal accident,100,No,Non-Intersection,BENDIGO,NORTHERN REGION,2,2,1,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,No,0,2,1,1,0,0,Arterial Highway,Arterial Highway,Undivided,Undiv,Country,Dry,Clear,2,0,38.0,,2014
185,185,145.06078213748424,-37.96602596230047,T20140019339,2014-09-18,13,No,Collision with vehicle,Thursday,RIGHT THROUGH,No,Day,T intersection,Fatal accident,60,No,Intersection,KINGSTON,METROPOLITAN SOUTH EAST REGION,3,3,1,2,0,0,2,1,0,1,2,0,0,0,0,0,0,0,1,0,No,0,2,0,2,0,0,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Metro,Dry,Clear,1,1,92.0,69.0,2014
186,186,145.6654103965609,-36.93207004693341,T20140019342,2014-09-18,8,No,Collision with a fixed object,Thursday,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,No,Day,Not at intersection,Fatal accident,100,Yes,Non-Intersection,STRATHBOGIE,NORTH EASTERN REGION,2,2,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,No,0,1,0,1,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Country,Wet,Raining,1,0,77.0,,2014
187,187,145.03092673263828,-38.28576581779487,T20140024443,2014-11-25,14,No,Collision with vehicle,Tuesday,RIGHT NEAR (INTERSECTIONS ONLY),No,Day,T intersection,Fatal accident,80,No,Intersection,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,4,3,1,2,0,1,2,2,0,2,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Arterial Highway,"Arterial Highway,Local Road",Undivided,Undiv,Metro,Dry,Clear,1,1,69.0,53.0,2014
188,188,145.04286587970213,-37.91165192753592,T20140015653,2014-07-29,18,Yes,Struck Pedestrian,Tuesday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Dark Street lights on,Cross intersection,Fatal accident,60,No,Intersection,GLEN EIRA,METROPOLITAN SOUTH EAST REGION,2,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,No,0,1,0,1,0,0,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Metro,Wet,Clear,0,1,,42.0,2014
189,189,145.26294686839927,-37.920851053570004,T20140016521,2014-08-10,10,No,Collision with a fixed object,Sunday,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,No,Day,Not at intersection,Fatal accident,40,Yes,Non-Intersection,KNOX,METROPOLITAN SOUTH EAST REGION,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,1,1,0,1,0,0,Local Road,Local Road,Undivided,Undiv,Metro,Wet,Clear,1,0,50.0,,2014
190,190,143.92262019386533,-37.004040134410985,T20140016909,2014-08-15,11,No,Collision with vehicle,Friday,HEAD ON (NOT OVERTAKING),No,Day,Not at intersection,Fatal accident,100,No,Non-Intersection,MOUNT ALEXANDER,NORTHERN REGION,2,1,1,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,1,0,No,0,2,0,1,1,0,Local Road,Local Road,Undivided,Undiv,Country,Dry,Clear,2,0,70.5,,2014
191,191,144.479710047181,-38.1767897406541,T20140016923,2014-08-15,13,No,Collision with a fixed object,Friday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Not at intersection,Fatal accident,80,Yes,Non-Intersection,GEELONG,SOUTH WESTERN REGION,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Arterial Other,Arterial Other,Divided,Div,Country,Dry,Clear,1,0,64.0,,2014
192,192,144.54929880793242,-37.376100277664364,T20140016967,2014-08-15,23,Yes,Vehicle overturned (no collision),Friday,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),No,Dark No street lights,Not at intersection,Fatal accident,110,No,Non-Intersection,MACEDON RANGES,NORTHERN REGION,7,7,2,1,4,0,7,0,0,6,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Freeway,Freeway,Divided,Div,Country,Dry,Clear,1,0,19.0,,2014
193,193,144.54929880793242,-37.376100277664364,T20140016967,2014-08-15,23,Yes,Vehicle overturned (no collision),Friday,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),No,Dark No street lights,Not at intersection,Fatal accident,110,No,Non-Intersection,MACEDON RANGES,NORTHERN REGION,7,7,2,1,4,0,7,0,0,6,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Freeway,Freeway,Divided,Div,Country,Dry,Clear,1,0,19.0,,2014
194,194,145.23402387738645,-37.922746518714796,T20140015756,2014-07-31,6,No,Struck Pedestrian,Thursday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,No,Dark Street lights unknown,Cross intersection,Fatal accident,80,No,Intersection,KNOX,METROPOLITAN SOUTH EAST REGION,2,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Arterial Highway,"Arterial Highway,Local Road",Divided,"Div,Undiv",Metro,Dry,Clear,0,1,,62.0,2014
195,195,143.6288176883226,-35.45566137679362,T20140016171,2014-08-05,11,No,Collision with vehicle,Tuesday,HEAD ON (NOT OVERTAKING),No,Day,Not at intersection,Fatal accident,80,No,Non-Intersection,SWAN HILL,NORTHERN REGION,5,2,1,1,0,3,5,0,0,2,3,0,0,0,0,0,0,0,1,0,No,0,3,1,2,0,0,Arterial Highway,Arterial Highway,Undivided,Undiv,Country,Dry,Clear,3,0,66.33333333333333,,2014
196,196,145.96745375779258,-38.07907637591109,T20140020970,2014-10-10,15,No,Collision with a fixed object,Friday,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,No,Day,Not at intersection,Fatal accident,100,Yes,Non-Intersection,BAW BAW,EASTERN REGION,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Country,Dry,Clear,0,1,,19.0,2014
197,197,143.85399863655672,-37.60293374313322,T20140021006,2014-10-11,14,Yes,Collision with a fixed object,Saturday,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,No,Day,Not at intersection,Fatal accident,80,Yes,Non-Intersection,BALLARAT,WESTERN REGION,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Country,Dry,Clear,1,0,24.0,,2014
198,198,142.80130157439106,-37.03619085581817,T20140021807,2014-10-22,7,No,Collision with a fixed object,Wednesday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dusk/Dawn,Not at intersection,Fatal accident,100,Yes,Non-Intersection,NORTHERN GRAMPIANS,WESTERN REGION,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Country,Dry,Clear,0,1,,63.0,2014
199,199,145.7617026216954,-38.35095095544509,T20140021055,2014-10-12,10,No,Vehicle overturned (no collision),Sunday,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),No,Day,Not at intersection,Fatal accident,100,No,Non-Intersection,SOUTH GIPPSLAND,EASTERN REGION,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,No,0,1,0,0,0,0,Local Road,Local Road,Undivided,Undiv,Country,Dry,Clear,1,0,67.0,,2014
200,200,144.6885840844585,-37.536329648560304,T20140021087,2014-10-12,17,Yes,Collision with a fixed object,Sunday,OUT OF CONTROL (OVERTAKING),No,Dusk/Dawn,Not at intersection,Fatal accident,100,Yes,Non-Intersection,HUME,METROPOLITAN NORTH WEST REGION,7,1,1,0,0,6,4,3,0,2,4,0,0,1,0,0,0,0,1,0,Yes,0,5,0,4,1,0,Arterial Other,Arterial Other,Undivided,Undiv,Metro,Dry,Clear,4,1,42.5,26.0,2014
201,201,145.14971179885958,-38.07828020245957,T20140020719,2014-10-07,16,No,Collision with a fixed object,Tuesday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Not at intersection,Fatal accident,100,Yes,Non-Intersection,FRANKSTON,METROPOLITAN SOUTH EAST REGION,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Freeway,Freeway,Divided,Div,Metro,Wet,Clear,1,0,22.0,,2014
202,202,145.12475091203027,-38.13911795663953,T20140020334,2014-10-02,8,No,Struck Pedestrian,Thursday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Day,Not at intersection,Fatal accident,60,No,Non-Intersection,FRANKSTON,METROPOLITAN SOUTH EAST REGION,2,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,Arterial Other,Arterial Other,Divided,Div,Metro,Dry,Clear,1,0,23.0,,2014
203,203,143.97234273626702,-37.50733031660532,T20140020767,2014-10-08,11,No,Collision with a fixed object,Wednesday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Not at intersection,Fatal accident,100,Yes,Non-Intersection,MOORABOOL,WESTERN REGION,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,0,1,0,1,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Country,Dry,Clear,1,0,51.0,,2014
204,204,144.06212134131945,-37.11747931716345,T20140020480,2014-10-04,11,No,Struck Pedestrian,Saturday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Day,Not at intersection,Fatal accident,100,No,Non-Intersection,MOUNT ALEXANDER,NORTHERN REGION,2,1,1,0,0,1,2,0,0,0,1,1,0,0,0,1,0,0,0,0,No,0,1,0,1,0,0,Arterial Other,Arterial Other,Undivided,Undiv,Country,Dry,Clear,1,0,51.0,,2014
205,205,142.63495368685585,-38.303591567249214,T20140020883,2014-10-09,17,No,Collision with vehicle,Thursday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Dusk/Dawn,Cross intersection,Fatal accident,100,No,Intersection,MOYNE,SOUTH WESTERN REGION,2,2,1,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,2,No,0,2,0,2,0,0,Local Road,Local Road,Undivided,Undiv,Country,Dry,Clear,1,1,24.0,25.0,2014
206,206,145.38686007546582,-38.042921596465135,T20140020896,2014-10-09,19,Yes,Collision with a fixed object,Thursday,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,No,Dusk/Dawn,Not at intersection,Fatal accident,100,Yes,Non-Intersection,CARDINIA,METROPOLITAN SOUTH EAST REGION,2,2,1,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,Yes,0,1,0,1,0,0,Local Road,Local Road,Undivided,Undiv,Metro,Dry,Clear,1,0,46.0,,2014
207,207,144.92535345335781,-37.812593450722495,T20140026992,2014-12-29,8,No,Collision with vehicle,Monday,U TURN,No,Day,Not at intersection,Fatal accident,50,No,Non-Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2,1,1,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,No,0,2,1,0,1,0,Local Road,Local Road,Undivided,Undiv,Metro,Dry,Clear,2,0,41.5,,2014
208,208,142.6193198619473,-38.384522329756116,T20150000262,2015-01-05,14,No,Collision with vehicle,Monday,HEAD ON (NOT OVERTAKING),No,Day,Not at intersection,Fatal accident,100,No,Non-Intersection,MOYNE,SOUTH WESTERN REGION,3,1,1,0,0,2,2,1,0,1,2,0,0,0,0,0,0,0,1,0,No,0,2,0,2,0,0,Arterial Highway,Arterial Highway,Undivided,Undiv,Country,Dry,Clear,2,0,77.5,,2015
209,209,144.75004743933226,-37.699026931991035,T20150000651,2015-01-10,14,Yes,Collision with a fixed object,Saturday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Not at intersection,Fatal accident,50,Yes,Non-Intersection,MELTON,METROPOLITAN NORTH WEST REGION,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,No,0,1,0,0,1,0,Local Road,Local Road,Undivided,Undiv,Metro,Dry,Clear,1,0,41.0,,2015
210,210,142.78570951654316,-38.50335253644113,T20150000673,2015-01-11,3,Yes,Collision with a fixed object,Sunday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Not at intersection,Fatal accident,100,Yes,Non-Intersection,MOYNE,SOUTH WESTERN REGION,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,0,1,0,1,0,0,Arterial Highway,Arterial Highway,Undivided,Undiv,Country,Dry,Clear,1,0,31.0,,2015
211,211,142.11809160195588,-36.4335999937752,T20150000691,2015-01-11,0,Yes,Vehicle overturned (no collision),Sunday,OFF CARRIAGEWAY TO LEFT,No,Dark No street lights,Not at intersection,Fatal accident,100,Yes,Non-Intersection,HINDMARSH,WESTERN REGION,2,2,1,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,Yes,0,1,0,1,0,0,Local Road,Local Road,Undivided,Undiv,Country,Dry,Clear,1,0,22.0,,2015
212,212,145.0351100054633,-36.37231313331413,T20150000008,2015-01-01,0,Yes,Collision with vehicle,Thursday,HEAD ON (NOT OVERTAKING),No,Dark No street lights,Not at intersection,Fatal accident,100,No,Non-Intersection,SHEPPARTON,NORTH EASTERN REGION,2,2,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,Yes,1,2,0,0,2,0,Local Road,Local Road,Undivided,Undiv,Country,Dry,Clear,2,0,35.0,,2015
213,213,145.002810346873,-37.92909811512697,T20150000020,2015-01-01,6,No,Collision with a fixed object,Thursday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dusk/Dawn,Cross intersection,Fatal accident,70,Yes,Non-Intersection,BAYSIDE,METROPOLITAN SOUTH EAST REGION,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,0,1,0,1,0,0,Arterial Other,Arterial Other,Divided,Div,Metro,Dry,Clear,1,0,28.0,,2015
214,214,145.4662601523348,-37.2015101719806,T20150000392,2015-01-07,12,No,Collision with vehicle,Wednesday,HEAD ON (NOT OVERTAKING),No,Day,Not at intersection,Fatal accident,100,No,Non-Intersection,MURRINDINDI,NORTH EASTERN REGION,5,5,1,4,0,0,1,4,0,3,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,Arterial Highway,Arterial Highway,Undivided,Undiv,Country,Dry,Clear,0,2,,69.0,2015
215,215,144.9746808415644,-37.64709626929944,T20140026016,2014-12-15,15,No,Collision with vehicle,Monday,LANE CHANGE RIGHT (NOT OVERTAKING),No,Day,Not at intersection,Fatal accident,80,No,Non-Intersection,WHITTLESEA,METROPOLITAN NORTH WEST REGION,3,1,1,0,0,2,3,0,0,1,1,0,0,1,0,0,0,0,0,0,No,0,2,0,1,1,0,Arterial Other,Arterial Other,Divided,Div,Metro,Dry,Clear,2,0,37.0,,2014
