,OBJECTID,ACCIDENT_NO,ACCIDENT_DATE,FD_FIRST_DATE_OF_YEAR,FD_YESTERDAY_DATE_OF_YEAR,INCLUDE_IN_EQUIVALENT_PERIOD,ACCIDENT_TIME,NODE_ID,PERSON_ID,SEX,AGE,ROAD_USER_TYPE,ROAD_USER_TYPE_DESC,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,NO_OF_VEHICLES,LGA_NAME,STAT_DIV_NAME,NODE_TYPE,NODE_TYPE_DESC,ROAD_NUM,ROAD_TYPE,X,Y,LOCATION_COUNT,yr
369,1995579,T20140013605,2014-07-02T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,154000,272589,A,M,92,2,Drivers,1,Collision with vehicle,2,BALLARAT,Ballarat,N,Non Intersection,9999,Non Declared Road,,,1,2014
371,1995581,T20160001847,2016-01-27T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,13000,299624,B,M,19,2,Drivers,4,Collision with a fixed object,2,BRIMBANK,Melbourne - North West,N,Non Intersection,2900,Declared Road,,,2,2016
372,1995582,T20140013804,2014-07-05T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,43000,272634,A,M,23,4,Motorcyclists,4,Collision with a fixed object,1,MELBOURNE,Melbourne - Inner,I,Intersection,9999,Non Declared Road,,,1,2014
373,1995583,T20160025997,2016-12-02T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,63400,57865,A,M,61,4,Motorcyclists,1,Collision with vehicle,2,MANNINGHAM,Melbourne - Outer East,I,Intersection,2400,Declared Road,,,1,2016
376,1995586,T20140014162,2014-07-09T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,185600,272835,A,F,88,2,Drivers,4,Collision with a fixed object,2,KNOX,Melbourne - Outer East,N,Non Intersection,2090,Declared Road,,,1,2014
377,1995587,T20140014193,2014-07-10T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,64000,272885,A,M,33,2,Drivers,4,Collision with a fixed object,1,CAMPASPE,Country,N,Non Intersection,2540,Declared Road,,,1,2014
378,1995588,T20140010896,2014-05-26T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,133000,271299,A,M,65,2,Drivers,4,Collision with a fixed object,1,BULOKE,Country,N,Non Intersection,9999,Non Declared Road,,,1,2014
379,1995589,T20140010912,2014-05-26T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,152500,271481,A,F,66,2,Drivers,4,Collision with a fixed object,1,WANGARATTA,Country,N,Non Intersection,5403,Declared Road,,,1,2014
381,1995591,T20140011155,2014-05-30T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,20000,271895,A,F,35,2,Drivers,4,Collision with a fixed object,1,BAW BAW,Country,N,Non Intersection,5682,Declared Road,,,1,2014
382,1995592,T20140011273,2014-05-31T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,142500,278590,B,F,55,2,Drivers,1,Collision with vehicle,2,WYNDHAM,Melbourne - West,I,Intersection,9999,Non Declared Road,,,1,2014
383,1995593,T20140011349,2014-06-01T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,160000,271409,A,M,63,2,Drivers,4,Collision with a fixed object,1,SOUTHERN GRAMPIANS,Country,N,Non Intersection,9999,Non Declared Road,,,1,2014
384,1995594,T20140011582,2014-06-04T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,214100,274199,A,M,25,2,Drivers,1,Collision with vehicle,4,FRANKSTON,Metro,N,Non Intersection,2660,Declared Road,,,1,2014
385,1995595,T20140011953,2014-06-10T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,53000,272500,A,M,22,2,Drivers,1,Collision with vehicle,3,GLENELG,Country,N,Non Intersection,2500,Declared Road,,,1,2014
386,1995596,T20140012367,2014-06-15T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,95000,274134,A,M,34,2,Drivers,4,Collision with a fixed object,1,EAST GIPPSLAND,Country,N,Non Intersection,2510,Declared Road,,,1,2014
387,1995597,T20140022144,2014-10-26T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,31500,277025,A,M,45,2,Drivers,1,Collision with vehicle,2,SURF COAST,Country,N,Non Intersection,2500,Declared Road,,,1,2014
388,1995598,T20140017230,2014-08-20T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,60500,274754,A,M,39,2,Drivers,1,Collision with vehicle,3,WYNDHAM,Melbourne - West,N,Non Intersection,5042,Declared Road,,,1,2014
389,1995599,T20140022546,2014-10-30T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,221200,277298,A,M,42,2,Drivers,4,Collision with a fixed object,1,INDIGO,Country,N,Non Intersection,9999,Non Declared Road,,,1,2014
391,1995601,T20140023044,2014-11-07T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,52500,277576,B,M,53,2,Drivers,1,Collision with vehicle,2,MELBOURNE,Melbourne - Inner,N,Non Intersection,5597,Declared Road,,,1,2014
392,1995602,T20140023144,2014-11-08T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,122500,277577,A,M,31,2,Drivers,4,Collision with a fixed object,1,HEPBURN,Bendigo,N,Non Intersection,9999,Non Declared Road,,,1,2014
393,1995603,T20140023145,2014-11-08T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,121000,277578,A,F,33,2,Drivers,1,Collision with vehicle,2,BENDIGO,Bendigo,I,Intersection,2530,Declared Road,,,1,2014
394,1995604,T20140023259,2014-11-10T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,85000,20746,A,M,64,2,Drivers,1,Collision with vehicle,2,EAST GIPPSLAND,Country,I,Intersection,2510,Declared Road,,,1,2014
395,1995605,T20140023304,2014-11-10T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,234500,277674,A,F,25,2,Drivers,4,Collision with a fixed object,1,SURF COAST,Country,N,Non Intersection,4890,Declared Road,,,1,2014
396,1995606,T20140023311,2014-11-11T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,10000,277794,A,F,25,2,Drivers,6,Vehicle overturned (no collision),1,WELLINGTON,Country,N,Non Intersection,5590,Declared Road,,,1,2014
399,1995609,T20150006689,2015-03-29T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,50000,288994,A,M,46,2,Drivers,6,Vehicle overturned (no collision),1,MELTON,Melbourne - West,N,Non Intersection,2520,Declared Road,,,1,2015
400,1995610,T20140023483,2014-11-13T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,85500,279721,B,M,54,2,Drivers,1,Collision with vehicle,5,WYNDHAM,Melbourne - West,N,Non Intersection,7160,Declared Road,,,1,2014
401,1995611,T20140023786,2014-11-17T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,82500,13567,B,M,64,4,Motorcyclists,1,Collision with vehicle,3,YARRA,Melbourne - Inner,N,Non Intersection,2998,Declared Road,,,1,2014
405,1995615,T20140022182,2014-10-26T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,145600,43723,B,M,51,2,Drivers,1,Collision with vehicle,2,MELTON,Melbourne - West,I,Intersection,5048,Declared Road,,,1,2014
406,1995616,T20140025004,2014-12-03T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,15500,43095,A,M,27,4,Motorcyclists,1,Collision with vehicle,2,DANDENONG,Melbourne - South East,I,Intersection,2090,Declared Road,,,1,2014
408,1995618,T20180007511,2018-04-21T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,11100,40919,A,F,32,2,Drivers,1,Collision with vehicle,2,KNOX,Melbourne - Outer East,I,Intersection,5796,Declared Road,,,2,2018
409,1995619,T20140026552,2014-12-22T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,112900,40817,A,F,80,2,Drivers,1,Collision with vehicle,3,WHITEHORSE,Melbourne - Outer East,I,Intersection,2400,Declared Road,,,1,2014
410,1995620,T20140025205,2014-12-05T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,61500,279119,A,M,26,2,Drivers,4,Collision with a fixed object,1,WHITTLESEA,Melbourne - North East,N,Non Intersection,5515,Declared Road,,,1,2014
412,1995622,T20150001292,2015-01-19T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,55000,39785,A,M,60,2,Drivers,1,Collision with vehicle,5,MAROONDAH,Melbourne - Outer East,I,Intersection,5784,Declared Road,,,1,2015
413,1995623,T20140025804,2014-12-13T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,10800,279333,B,M,19,4,Motorcyclists,1,Collision with vehicle,2,BRIMBANK,Melbourne - West,N,Non Intersection,5520,Declared Road,,,1,2014
414,1995624,T20140025904,2014-12-14T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,153000,279334,A,F,19,2,Drivers,4,Collision with a fixed object,1,CAMPASPE,Country,N,Non Intersection,9999,Non Declared Road,,,1,2014
415,1995625,T20140026016,2014-12-15T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,155500,280760,A,M,38,4,Motorcyclists,1,Collision with vehicle,2,WHITTLESEA,Melbourne - North East,N,Non Intersection,5606,Declared Road,,,1,2014
416,1995626,T20140026159,2014-12-17T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,85200,279722,A,M,45,2,Drivers,1,Collision with vehicle,2,GANNAWARRA,Country,N,Non Intersection,2570,Declared Road,,,1,2014
418,1995628,T20150001029,2015-01-15T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,74000,287931,A,M,31,2,Drivers,1,Collision with vehicle,2,CORANGAMITE,Country,N,Non Intersection,5036,Declared Road,,,1,2015
419,1995629,T20170015199,2017-08-06T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,51000,300748,A,M,23,2,Drivers,4,Collision with a fixed object,1,DANDENONG,Melbourne - South East,N,Non Intersection,9999,Non Declared Road,,,1,2017
420,1995630,T20150011387,2015-05-29T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,21000,289714,A,M,33,2,Drivers,4,Collision with a fixed object,1,CASEY,Melbourne - South East,N,Non Intersection,9999,Non Declared Road,,,1,2015
421,1995631,T20160024173,2016-11-09T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,90500,54123,A,F,81,2,Drivers,1,Collision with vehicle,2,MILDURA,Country,I,Intersection,2610,Declared Road,,,2,2016
422,1995632,T20150000008,2015-01-01T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,1000,279836,A,M,35,4,Motorcyclists,1,Collision with vehicle,2,SHEPPARTON,Country,N,Non Intersection,9999,Non Declared Road,,,1,2015
423,1995633,T20140024468,2014-11-25T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,182500,278479,A,F,67,2,Drivers,4,Collision with a fixed object,1,MURRINDINDI,Country,N,Non Intersection,2720,Declared Road,,,1,2014
424,1995634,T20140024632,2014-11-27T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,115000,30044,B,M,63,4,Motorcyclists,1,Collision with vehicle,2,LATROBE,Country,I,Intersection,9999,Non Declared Road,,,1,2014
425,1995635,T20170014075,2017-07-20T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,72600,323182,A,F,25,2,Drivers,1,Collision with vehicle,2,GEELONG,Country,N,Non Intersection,5060,Declared Road,,,1,2017
427,1995637,T20140024717,2014-11-28T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,171300,278753,A,M,25,2,Drivers,1,Collision with vehicle,2,EAST GIPPSLAND,Country,I,Intersection,2510,Declared Road,,,2,2014
428,1995638,T20140024744,2014-11-29T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,84000,393,A,M,24,4,Motorcyclists,1,Collision with vehicle,3,STONNINGTON,Melbourne - Inner,I,Intersection,5898,Declared Road,,,1,2014
431,1995641,T20140024794,2014-11-30T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,4500,279647,A,M,36,2,Drivers,6,Vehicle overturned (no collision),1,SURF COAST,Country,N,Non Intersection,9999,Non Declared Road,,,2,2014
432,1995642,T20140019687,2014-09-23T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,123900,35375,A,M,91,2,Drivers,4,Collision with a fixed object,1,MELBOURNE,Melbourne - Inner,I,Intersection,2080,Declared Road,,,1,2014
433,1995643,T20140003208,2014-02-15T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,113000,267013,A,M,49,4,Motorcyclists,4,Collision with a fixed object,1,YARRA RANGES,Melbourne - Outer East,N,Non Intersection,5522,Declared Road,,,1,2014
434,1995644,T20140020078,2014-09-28T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,191500,277041,A,M,19,2,Drivers,4,Collision with a fixed object,1,INDIGO,Country,N,Non Intersection,5463,Declared Road,,,1,2014
435,1995645,T20140020184,2014-09-30T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,120000,276071,A,M,25,2,Drivers,1,Collision with vehicle,2,BENDIGO,Bendigo,N,Non Intersection,2200,Declared Road,,,1,2014
437,1995647,T20150004888,2015-03-07T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,41500,288125,A,M,25,2,Drivers,4,Collision with a fixed object,1,CASEY,Melbourne - South East,N,Non Intersection,9999,Non Declared Road,,,1,2015
438,1995648,T20140020767,2014-10-08T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,111000,275787,A,M,51,2,Drivers,4,Collision with a fixed object,1,MOORABOOL,Ballarat,N,Non Intersection,5220,Declared Road,,,1,2014
439,1995649,T20140022129,2014-10-26T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,5600,277026,A,M,36,4,Motorcyclists,1,Collision with vehicle,2,CORANGAMITE,Country,N,Non Intersection,5088,Declared Road,,,1,2014
441,1995651,T20170023159,2017-12-04T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,54000,324424,A,M,22,2,Drivers,4,Collision with a fixed object,1,MORNINGTON PENINSULA,Metro,N,Non Intersection,5751,Declared Road,,,1,2017
442,1995652,T20150009754,2015-05-09T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,40000,288932,A,M,47,2,Drivers,1,Collision with vehicle,2,MAROONDAH,Melbourne - Outer East,N,Non Intersection,5784,Declared Road,,,1,2015
444,1995654,T20140021807,2014-10-22T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,73000,279720,A,F,63,2,Drivers,4,Collision with a fixed object,1,NORTHERN GRAMPIANS,Country,N,Non Intersection,5245,Declared Road,,,1,2014
447,1995657,T20140003165,2014-02-15T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,85500,267678,B,M,50,2,Drivers,1,Collision with vehicle,2,MURRINDINDI,Melbourne - Outer East,N,Non Intersection,5791,Declared Road,,,2,2014
449,1995659,T20140022135,2014-10-26T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,32000,277028,A,M,20,2,Drivers,4,Collision with a fixed object,1,GEELONG,Country,N,Non Intersection,9999,Non Declared Road,,,1,2014
450,1995660,T20160009682,2016-05-03T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,194500,302945,A,M,40,2,Drivers,1,Collision with vehicle,2,BAYSIDE,Melbourne - Inner South,N,Non Intersection,5840,Declared Road,,,1,2016
452,1995662,T20150001098,2015-01-16T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,53400,281087,A,M,21,2,Drivers,4,Collision with a fixed object,1,BENDIGO,Bendigo,N,Non Intersection,5175,Declared Road,,,1,2015
453,1995663,T20160023061,2016-10-24T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,161400,71827,A,F,45,2,Drivers,1,Collision with vehicle,2,CARDINIA,Melbourne - South East,I,Intersection,9999,Non Declared Road,,,1,2016
454,1995664,T20150019565,2015-09-20T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,132900,294088,A,F,40,4,Motorcyclists,1,Collision with vehicle,2,YARRA RANGES,Melbourne - Outer East,N,Non Intersection,2720,Declared Road,,,1,2015
455,1995665,T20150002217,2015-02-01T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,120500,274101,A,M,65,2,Drivers,4,Collision with a fixed object,1,NILLUMBIK,Melbourne - North East,I,Intersection,9999,Non Declared Road,,,1,2015
460,1995670,T20180002930,2018-02-15T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,92500,327133,A,M,92,2,Drivers,4,Collision with a fixed object,1,COLAC OTWAY,Country,N,Non Intersection,2780,Declared Road,,,1,2018
461,1995671,T20150002303,2015-02-02T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,185000,289170,A,M,30,2,Drivers,6,Vehicle overturned (no collision),1,SHEPPARTON,Country,N,Non Intersection,5365,Declared Road,,,1,2015
462,1995672,T20150002975,2015-02-11T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,33000,282459,A,M,49,2,Drivers,6,Vehicle overturned (no collision),1,CORANGAMITE,Country,N,Non Intersection,5036,Declared Road,,,1,2015
466,1995676,T20150003702,2015-02-20T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,95900,61939,C,M,35,4,Motorcyclists,1,Collision with vehicle,2,BANYULE,Melbourne - North East,I,Intersection,9999,Non Declared Road,,,1,2015
468,1995678,T20180008792,2018-05-09T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,143800,53291,A,M,57,2,Drivers,1,Collision with vehicle,2,BAW BAW,Country,I,Intersection,5532,Declared Road,,,1,2018
473,1995683,T20150005007,2015-03-08T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,184000,287932,A,F,64,2,Drivers,4,Collision with a fixed object,1,INDIGO,Country,N,Non Intersection,5465,Declared Road,,,1,2015
475,1995685,T20150005049,2015-03-09T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,141500,286543,A,F,34,2,Drivers,4,Collision with a fixed object,1,MURRINDINDI,Country,N,Non Intersection,2640,Declared Road,,,2,2015
478,1995688,T20150006759,2015-03-30T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,81500,287600,A,M,52,2,Drivers,4,Collision with a fixed object,1,GLENELG,Country,N,Non Intersection,5045,Declared Road,,,1,2015
482,1995692,T20160010029,2016-05-07T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,161700,303400,A,M,47,4,Motorcyclists,4,Collision with a fixed object,1,NILLUMBIK,Melbourne - North East,N,Non Intersection,9999,Non Declared Road,,,1,2016
483,1995693,T20150007244,2015-04-06T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,100,287538,A,F,27,2,Drivers,4,Collision with a fixed object,1,MILDURA,Country,N,Non Intersection,2530,Declared Road,,,1,2015
484,1995694,T20150007253,2015-04-06T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,150000,289000,A,M,23,2,Drivers,4,Collision with a fixed object,1,MELTON,Melbourne - West,N,Non Intersection,9999,Non Declared Road,,,1,2015
485,1995695,T20160024856,2016-11-17T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,223500,310696,A,M,26,2,Drivers,4,Collision with a fixed object,1,YARRA RANGES,Melbourne - Outer East,N,Non Intersection,9999,Non Declared Road,,,1,2016
486,1995696,T20150009873,2015-05-10T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,152000,288929,A,F,52,2,Drivers,1,Collision with vehicle,2,BENALLA,Country,N,Non Intersection,2590,Declared Road,,,1,2015
487,1995697,T20180022591,2018-12-02T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,110000,340120,A,M,17,4,Motorcyclists,1,Collision with vehicle,2,MORELAND,Melbourne - North West,N,Non Intersection,9999,Non Declared Road,,,1,2018
491,1995701,T20150008012,2015-04-16T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,113000,287968,A,M,20,2,Drivers,1,Collision with vehicle,2,BENALLA,Country,N,Non Intersection,2590,Declared Road,,,2,2015
492,1995702,T20150008012,2015-04-16T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,113000,287968,B,M,65,2,Drivers,1,Collision with vehicle,2,BENALLA,Country,N,Non Intersection,2590,Declared Road,,,2,2015
494,1995704,T20140016521,2014-08-10T00:00:00.000Z,2014-01-01T00:00:00.000Z,2014-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,105800,274227,A,M,50,2,Drivers,4,Collision with a fixed object,1,KNOX,Melbourne - Outer East,N,Non Intersection,9999,Non Declared Road,,,1,2014
496,1995706,T20150005221,2015-03-11T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,111100,35449,A,M,47,2,Drivers,1,Collision with vehicle,2,MELBOURNE,Melbourne - Inner,I,Intersection,2120,Declared Road,,,2,2015
497,1995707,T20160007709,2016-04-08T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,122500,41977,A,M,29,4,Motorcyclists,1,Collision with vehicle,2,KNOX,Melbourne - Outer East,I,Intersection,2750,Declared Road,,,2,2016
498,1995708,T20170014368,2017-07-24T00:00:00.000Z,2017-01-01T00:00:00.000Z,2017-04-16T00:00:00.000Z,Include in Future Road Deaths Reporting,171000,319626,A,M,27,2,Drivers,1,Collision with vehicle,3,MACEDON RANGES,Country,N,Non Intersection,5827,Declared Road,,,1,2017
499,1995709,T20150005357,2015-03-13T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,95000,286635,A,F,27,2,Drivers,4,Collision with a fixed object,1,ARARAT,Ballarat,N,Non Intersection,2740,Declared Road,,,1,2015
500,1995710,T20150005381,2015-03-13T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,145000,286636,A,F,44,2,Drivers,4,Collision with a fixed object,1,MACEDON RANGES,Bendigo,N,Non Intersection,5290,Declared Road,,,1,2015
504,1995714,T20150003816,2015-02-21T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,232200,286679,A,M,42,2,Drivers,4,Collision with a fixed object,1,WHITEHORSE,Melbourne - Inner East,I,Intersection,9999,Non Declared Road,,,1,2015
505,1995715,T20150002193,2015-01-31T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,235900,287933,A,M,40,4,Motorcyclists,4,Collision with a fixed object,1,BAW BAW,Country,N,Non Intersection,9999,Non Declared Road,,,1,2015
508,1995718,T20150003710,2015-02-20T00:00:00.000Z,2015-01-01T00:00:00.000Z,2015-04-16T00:00:00.000Z,Include in Current Equivalent Period Road Deaths Reporting,125200,45470,A,M,43,4,Motorcyclists,7,Fall from or in moving vehicle,1,MOONEE VALLEY,Melbourne - Inner,I,Intersection,9999,Non Declared Road,,,1,2015
